sec,nanosec,latitude,longitude,datetime
1749195203,344124,43.5140389,16.2502959,2025-06-06T07:33:23.000344+00:00
1749195203,250343981,43.5140389,16.2502958,2025-06-06T07:33:23.250344+00:00
1749195203,500343838,43.5140389,16.2502958,2025-06-06T07:33:23.500344+00:00
1749195203,750343696,43.5140389,16.2502959,2025-06-06T07:33:23.750344+00:00
1749195204,343553,43.5140390,16.2502961,2025-06-06T07:33:24.000344+00:00
1749195204,250343410,43.5140390,16.2502962,2025-06-06T07:33:24.250343+00:00
1749195204,500343267,43.5140390,16.2502964,2025-06-06T07:33:24.500343+00:00
1749195204,750343125,43.5140391,16.2502965,2025-06-06T07:33:24.750343+00:00
1749195205,342982,43.5140390,16.2502965,2025-06-06T07:33:25.000343+00:00
1749195205,250342839,43.5140390,16.2502965,2025-06-06T07:33:25.250343+00:00
1749195205,500342696,43.5140390,16.2502966,2025-06-06T07:33:25.500343+00:00
1749195205,750342554,43.5140390,16.2502968,2025-06-06T07:33:25.750343+00:00
1749195206,342411,43.5140391,16.2502969,2025-06-06T07:33:26.000342+00:00
1749195206,250342268,43.5140391,16.2502970,2025-06-06T07:33:26.250342+00:00
1749195206,500342125,43.5140391,16.2502971,2025-06-06T07:33:26.500342+00:00
1749195206,750341983,43.5140391,16.2502970,2025-06-06T07:33:26.750342+00:00
1749195207,341840,43.5140391,16.2502971,2025-06-06T07:33:27.000342+00:00
1749195207,250341697,43.5140391,16.2502971,2025-06-06T07:33:27.250342+00:00
1749195207,500341554,43.5140390,16.2502971,2025-06-06T07:33:27.500342+00:00
1749195207,750341411,43.5140390,16.2502973,2025-06-06T07:33:27.750341+00:00
1749195208,341269,43.5140390,16.2502972,2025-06-06T07:33:28.000341+00:00
1749195208,250341126,43.5140390,16.2502972,2025-06-06T07:33:28.250341+00:00
1749195208,500340983,43.5140389,16.2502972,2025-06-06T07:33:28.500341+00:00
1749195208,750340840,43.5140389,16.2502972,2025-06-06T07:33:28.750341+00:00
1749195209,340697,43.5140389,16.2502973,2025-06-06T07:33:29.000341+00:00
1749195209,250340555,43.5140390,16.2502973,2025-06-06T07:33:29.250340+00:00
1749195209,500340412,43.5140390,16.2502974,2025-06-06T07:33:29.500340+00:00
1749195209,750340269,43.5140390,16.2502974,2025-06-06T07:33:29.750340+00:00
1749195210,340126,43.5140390,16.2502975,2025-06-06T07:33:30.000340+00:00
1749195210,250339983,43.5140390,16.2502975,2025-06-06T07:33:30.250340+00:00
1749195210,500339841,43.5140390,16.2502975,2025-06-06T07:33:30.500340+00:00
1749195210,750339698,43.5140390,16.2502975,2025-06-06T07:33:30.750340+00:00
1749195211,339555,43.5140390,16.2502975,2025-06-06T07:33:31.000340+00:00
1749195211,250339412,43.5140391,16.2502974,2025-06-06T07:33:31.250340+00:00
1749195211,500339269,43.5140391,16.2502976,2025-06-06T07:33:31.500339+00:00
1749195211,750339127,43.5140390,16.2502976,2025-06-06T07:33:31.750339+00:00
1749195212,338984,43.5140391,16.2502978,2025-06-06T07:33:32.000339+00:00
1749195212,250338841,43.5140391,16.2502979,2025-06-06T07:33:32.250339+00:00
1749195212,500338698,43.5140390,16.2502979,2025-06-06T07:33:32.500339+00:00
1749195212,750338555,43.5140390,16.2502978,2025-06-06T07:33:32.750339+00:00
1749195213,338412,43.5140391,16.2502978,2025-06-06T07:33:33.000338+00:00
1749195213,250338270,43.5140391,16.2502978,2025-06-06T07:33:33.250338+00:00
1749195213,500338127,43.5140392,16.2502979,2025-06-06T07:33:33.500338+00:00
1749195213,750337984,43.5140393,16.2502978,2025-06-06T07:33:33.750338+00:00
1749195214,337841,43.5140394,16.2502978,2025-06-06T07:33:34.000338+00:00
1749195214,250337698,43.5140394,16.2502981,2025-06-06T07:33:34.250338+00:00
1749195214,500337555,43.5140394,16.2502983,2025-06-06T07:33:34.500338+00:00
1749195214,750337412,43.5140396,16.2502983,2025-06-06T07:33:34.750337+00:00
1749195215,337269,43.5140395,16.2502983,2025-06-06T07:33:35.000337+00:00
1749195215,250337127,43.5140396,16.2502983,2025-06-06T07:33:35.250337+00:00
1749195215,500336984,43.5140397,16.2502983,2025-06-06T07:33:35.500337+00:00
1749195215,750336841,43.5140398,16.2502983,2025-06-06T07:33:35.750337+00:00
1749195216,336698,43.5140398,16.2502985,2025-06-06T07:33:36.000337+00:00
1749195216,250336555,43.5140399,16.2502986,2025-06-06T07:33:36.250337+00:00
1749195216,500336412,43.5140399,16.2502986,2025-06-06T07:33:36.500336+00:00
1749195216,750336269,43.5140400,16.2502986,2025-06-06T07:33:36.750336+00:00
1749195217,336126,43.5140400,16.2502987,2025-06-06T07:33:37.000336+00:00
1749195217,250335984,43.5140401,16.2502986,2025-06-06T07:33:37.250336+00:00
1749195217,500335841,43.5140401,16.2502986,2025-06-06T07:33:37.500336+00:00
1749195217,750335698,43.5140402,16.2502986,2025-06-06T07:33:37.750336+00:00
1749195218,335555,43.5140402,16.2502985,2025-06-06T07:33:38.000335+00:00
1749195218,250335412,43.5140401,16.2502984,2025-06-06T07:33:38.250335+00:00
1749195218,500335269,43.5140401,16.2502982,2025-06-06T07:33:38.500335+00:00
1749195218,750335126,43.5140401,16.2502980,2025-06-06T07:33:38.750335+00:00
1749195219,334983,43.5140401,16.2502980,2025-06-06T07:33:39.000335+00:00
1749195219,250334840,43.5140401,16.2502980,2025-06-06T07:33:39.250335+00:00
1749195219,500334697,43.5140401,16.2502978,2025-06-06T07:33:39.500335+00:00
1749195219,750334554,43.5140401,16.2502976,2025-06-06T07:33:39.750335+00:00
