mmsi,latitude,longitude,header_sec,header_nanosec,bag_name
538072144,43.3913,16.188088333333333,1749303115,557085820,blue_lagoon_imu
238066340,43.464435,16.22983,1749303118,84107807,blue_lagoon_imu
238107340,43.45581166666667,16.219265,1749303123,235043208,blue_lagoon_imu
238605740,43.46922,16.200026666666666,1749303123,795041561,blue_lagoon_imu
538072144,43.39163833333333,16.188196666666666,1749303125,378387393,blue_lagoon_imu
238066340,43.464243333333336,16.230166666666666,1749303127,234351936,blue_lagoon_imu
238670040,43.473971666666664,16.258643333333332,1749303127,362351727,blue_lagoon_imu
238850640,43.443565,16.19166,1749303130,417672893,blue_lagoon_imu
203245328,43.410783333333335,16.16868,1749303137,392047687,blue_lagoon_imu
238858440,43.45844833333334,16.238363333333332,1749303137,936038499,blue_lagoon_imu
238107340,43.455178333333336,16.219673333333333,1749303152,493132012,blue_lagoon_imu
238858440,43.45816666666666,16.238791666666668,1749303152,765112184,blue_lagoon_imu
538072144,43.392665,16.188535,1749303156,540314205,blue_lagoon_imu
238066340,43.463548333333335,16.231325,1749303157,932201864,blue_lagoon_imu
238850640,43.442525,16.191073333333332,1749303160,139416021,blue_lagoon_imu
538072144,43.39295666666667,16.188636666666667,1749303165,177477774,blue_lagoon_imu
203245328,43.41054333333334,16.169643333333333,1749303166,521297973,blue_lagoon_imu
238066340,43.46335333333333,16.231663333333334,1749303167,161061164,blue_lagoon_imu
244029246,91.0,181.0,1749303171,658021227,blue_lagoon_imu
203247262,43.40969333333334,16.177866666666667,1749303174,887339148,blue_lagoon_imu
538072144,43.39335,16.188776666666666,1749303176,726995938,blue_lagoon_imu
238066340,43.46310666666667,16.23208,1749303178,86792066,blue_lagoon_imu
232016168,43.40326666666667,16.146806666666667,1749303182,778911647,blue_lagoon_imu
238107340,43.45448666666667,16.220108333333332,1749303183,242675387,blue_lagoon_imu
538072144,43.39360666666666,16.188876666666665,1749303185,363403089,blue_lagoon_imu
238066340,43.46286333333333,16.232501666666668,1749303188,674553572,blue_lagoon_imu
238201000,43.39153666666667,16.414211666666667,1749303189,842371636,blue_lagoon_imu
238850640,43.441478333333336,16.190503333333332,1749303190,417996628,blue_lagoon_imu
238396340,43.51503666666667,16.231085,1749303190,562241589,blue_lagoon_imu
538072144,43.393926666666665,16.189003333333332,1749303194,897271111,blue_lagoon_imu
238066340,43.462695,16.232805,1749303196,993109146,blue_lagoon_imu
203245328,43.41027833333333,16.17066,1749303197,393068003,blue_lagoon_imu
238858440,43.457325,16.240073333333335,1749303197,937088338,blue_lagoon_imu
238107340,43.45381833333333,16.2205,1749303212,493729576,blue_lagoon_imu
238605740,43.467545,16.20108,1749303212,701795492,blue_lagoon_imu
238066340,43.462028333333336,16.233928333333335,1749303227,163071134,blue_lagoon_imu
238396340,43.51503,16.23109,1749303230,298429607,blue_lagoon_imu
203247262,43.409085,16.180066666666665,1749303234,889144335,blue_lagoon_imu
538072144,43.39520666666667,16.189605,1749303236,728873742,blue_lagoon_imu
238322040,43.514605,16.231685,1749303237,80746443,blue_lagoon_imu
238702640,43.514671666666665,16.231601666666666,1749303237,528798471,blue_lagoon_imu
